lon,lat,mag,time_string,depth,catalog_id,event_id
174.9688721,-40.39764023,3.204160277,2016-11-26T11:17:15.028000,29.43013573,,2016p893162
174.2161407,-41.81160355,3.648689456,2016-11-26T11:08:58.145000,4.752194881,,2016p893147
174.22052,-41.68587112,3.023022483,2016-11-26T11:05:41.236000,10.46565819,,2016p893141
176.7587585,-40.54241562,3.00135193,2016-11-26T09:22:08.971000,16.69641876,,2016p892946
174.3506317,-41.73967743,3.577623888,2016-11-26T09:21:03.543000,10.2051897,,2016p892944
173.6704407,-42.33424377,3.002436493,2016-11-26T07:55:22.547000,4.77694416,,2016p892784
177.4870453,-38.71912384,4.917122044,2016-11-26T07:21:43.031000,11.70484924,,2016p892721
174.3368073,-41.67246246,3.223759266,2016-11-26T07:21:25.244000,13.14503765,,2016p892720
173.5623779,-41.84635544,3.090604561,2016-11-26T05:25:34.710000,5.0,,2016p892502
174.2431641,-41.74956131,3.681653709,2016-11-26T04:38:27.391000,8.184418678,,2016p892414
172.8631897,-41.45871353,3.173056291,2016-11-26T04:05:16.455000,92.81185913,,2016p892352
173.2339783,-42.55442429,3.269675137,2016-11-26T02:34:46.391000,5.0,,2016p892182
173.5366211,-42.19573975,3.654504319,2016-11-26T02:19:43.638000,5.0,,2016p892154
173.2584229,-42.53863525,3.393939623,2016-11-26T02:19:23.463000,5.0,,2016p892153
173.635025,-42.14056396,3.395036281,2016-11-26T02:14:30.917000,5.0,,2016p892144
173.8127899,-41.97874451,3.368378163,2016-11-26T02:13:32.081000,10.01098633,,2016p892142
177.8723907,-37.99996185,3.559939195,2016-11-26T01:40:54.403000,25.16144753,,2016p892081
176.6273651,-40.82263184,3.123785654,2016-11-26T01:08:20.907000,22.5784874,,2016p892020
176.7618561,-40.5206871,3.075886562,2016-11-26T00:37:27.860000,17.89036942,,2016p891963
176.7821655,-40.56155396,3.170713272,2016-11-26T00:34:09.971000,19.42620659,,2016p891956
174.2628784,-41.68797302,3.014598426,2016-11-26T00:07:42.436000,9.915138245,,2016p891906
173.7220764,-42.01145172,3.063026306,2016-11-25T23:17:13.120000,5.0,,2016p891811
173.7719421,-42.24274445,3.076327329,2016-11-25T22:59:43.101000,5.0,,2016p891778
174.2975006,-41.70207977,3.227384579,2016-11-25T22:20:11.153000,11.19962311,,2016p891704
174.2313232,-41.8016777,3.272268396,2016-11-25T21:57:26.614000,6.698531628,,2016p891661
174.2823639,-41.71398926,3.574452299,2016-11-25T21:37:22.028000,10.85984135,,2016p891624
174.207077,-41.77403641,3.828962792,2016-11-25T21:26:50.561000,14.88175678,,2016p891604
174.3016052,-41.70380783,3.257938804,2016-11-25T21:13:34.023000,5.601252556,,2016p891579
174.2978821,-41.58285904,3.03835069,2016-11-25T20:49:41.645000,5.0,,2016p891534
173.6758881,-42.21730423,3.06292105,2016-11-25T19:01:59.203000,5.0,,2016p891332
174.1342926,-39.00540543,3.026931089,2016-11-25T17:46:31.629000,5.0,,2016p891190
173.7160187,-42.19411469,3.189751224,2016-11-25T16:31:43.070000,5.0,,2016p891050
174.421402,-41.72173691,3.175794829,2016-11-25T16:26:21.698000,9.686279297,,2016p891040
176.6773529,-40.63184738,3.680454161,2016-11-25T16:21:35.605000,17.82745552,,2016p891031
174.3184814,-41.71537018,3.118615478,2016-11-25T15:35:48.148000,6.152892113,,2016p890945
173.545639,-42.30898285,3.224668843,2016-11-25T15:09:45.279000,5.0,,2016p890896
177.3474104,-38.9441638,3.037649902,2016-11-25T14:22:47.187000,19.0625,,2016p890808
174.482193,-41.47133636,4.653228397,2016-11-25T14:22:02.947000,12.0,,2016p890807
176.8040314,-40.60109711,3.518983251,2016-11-25T14:00:46.970000,16.82772064,,2016p890767
173.6430206,-42.3585701,3.619260669,2016-11-25T13:24:30.841000,8.594596863,,2016p890699
175.5654449,-39.8706131,3.247562057,2016-11-25T13:19:01.379000,5.0,,2016p890688
173.1861115,-42.43412781,4.031361734,2016-11-25T12:36:38.737000,5.0,,2016p890609
