# Simulation 313
# RelativeTime(days) Magnitude Generation Latitude Longitude
Time Mag Gen Lat Lon
1.671	 2.35	 1	 -43.3780	  172.3707
1.679	 2.37	 1	 -43.1049	  172.9814
1.688	 2.48	 1	 -41.6768	  175.3822
1.690	 2.00	 1	 -42.4861	  173.4944
1.693	 2.25	 1	 -42.4288	  172.8671
1.693	 2.28	 1	 -42.5911	  173.0252
1.694	 2.49	 1	 -42.1474	  173.2872
1.694	 2.31	 1	 -43.1193	  174.6154
1.699	 4.05	 1	 -42.4986	  173.2876
1.702	 2.02	 1	 -42.7064	  172.8867
1.714	 2.37	 1	 -42.1627	  172.5699
1.722	 3.05	 1	 -42.5345	  173.0741
1.725	 2.45	 1	 -42.5547	  172.3002
1.727	 2.74	 2	 -42.7902	  172.3567
1.738	 2.24	 1	 -42.8060	  172.8306
1.740	 2.20	 1	 -42.6991	  173.2702
1.752	 2.11	 1	 -47.1286	  172.0220
1.758	 2.89	 1	 -42.4779	  172.8401
1.761	 2.07	 1	 -42.6535	  173.7751
1.778	 2.10	 1	 -42.6519	  173.2471
1.780	 2.53	 1	 -42.4781	  171.8097
1.784	 2.01	 1	 -42.7051	  172.9266
1.790	 2.03	 1	 -42.6961	  172.6643
1.790	 2.02	 1	 -41.1711	  173.3285
1.797	 2.42	 1	 -42.2893	  173.4700
1.802	 3.68	 1	 -38.4101	  174.8875
1.809	 2.10	 1	 -40.2773	  172.8977
1.821	 2.44	 1	 -41.2896	  175.6060
1.822	 2.52	 1	 -41.9852	  171.1033
1.823	 2.03	 1	 -42.8892	  172.8773
1.824	 2.11	 1	 -43.0509	  173.0385
1.825	 2.88	 1	 -42.5395	  173.8502
1.830	 2.39	 1	 -41.8398	  172.4267
1.832	 2.01	 2	 -42.4994	  173.2785
1.835	 2.00	 1	 -42.7993	  173.5092
1.838	 2.22	 1	 -42.2831	  172.6812
1.851	 2.60	 1	 -42.4938	  174.1131
1.853	 2.17	 1	 -42.9855	  172.9044
1.854	 2.95	 1	 -42.5778	  172.9126
1.876	 2.34	 1	 -43.5021	  174.2517
1.876	 2.89	 1	 -42.6090	  173.7010
1.876	 2.14	 1	 -43.0644	  170.8677
1.878	 2.11	 1	 -43.3400	  173.2163
1.881	 2.14	 1	 -42.3841	  173.0001
1.882	 2.28	 1	 -43.6482	  172.5223
1.888	 3.06	 1	 -42.3939	  173.2185
1.891	 2.24	 1	 -42.6610	  171.7016
1.906	 2.67	 1	 -43.7671	  173.8151
1.923	 2.32	 1	 -43.0096	  172.8465
1.930	 2.25	 1	 -43.1183	  173.4548
1.935	 2.35	 1	 -42.9530	  173.1474
1.936	 2.55	 1	 -42.5534	  174.1665
1.949	 2.23	 1	 -38.3028	  171.6963
1.952	 2.64	 2	 -42.4805	  172.9840
1.952	 2.67	 1	 -42.1886	  173.7384
1.974	 2.07	 1	 -43.0590	  173.0845
1.974	 2.07	 1	 -42.9600	  173.1438
1.976	 2.06	 1	 -42.7066	  173.0212
1.985	 3.71	 1	 -40.1276	  167.9973
